model,scenario,region,variable,item,unit,year,value
aglink,baseline,ame,area,cgr,1000 ha,2000,81401.52506
aglink,baseline,ame,area,cgr,1000 ha,2010,104667.4933
aglink,baseline,ame,area,cgr,1000 ha,2020,109046.6965
aglink,baseline,ame,area,cgr,1000 ha,2030,107950.2852
aglink,baseline,ame,area,cgr,1000 ha,2040,110539.5722
aglink,baseline,ame,area,grs,1000 ha,2000,1152541.04
aglink,baseline,ame,area,grs,1000 ha,2010,1153993.827
aglink,baseline,ame,area,grs,1000 ha,2020,1090001.955
aglink,baseline,ame,area,grs,1000 ha,2030,1090452.151
aglink,baseline,ame,area,grs,1000 ha,2040,1090452.151
aglink,baseline,ame,area,osd,1000 ha,2000,12988.61559
aglink,baseline,ame,area,osd,1000 ha,2010,15319.15082
aglink,baseline,ame,area,osd,1000 ha,2020,17070.22507
aglink,baseline,ame,area,osd,1000 ha,2030,17679.39298
aglink,baseline,ame,area,osd,1000 ha,2040,17877.41972
aglink,baseline,ame,area,pfb,1000 ha,2000,5215.923865
aglink,baseline,ame,area,pfb,1000 ha,2010,4111.792855
aglink,baseline,ame,area,pfb,1000 ha,2020,4905.611685
aglink,baseline,ame,area,pfb,1000 ha,2030,5387.202758
aglink,baseline,ame,area,pfb,1000 ha,2040,5391.516475
aglink,baseline,ame,area,ric,1000 ha,2000,8233.232532
aglink,baseline,ame,area,ric,1000 ha,2010,11450.31252
aglink,baseline,ame,area,ric,1000 ha,2020,17231.48552
aglink,baseline,ame,area,ric,1000 ha,2030,18433.62468
aglink,baseline,ame,area,ric,1000 ha,2040,19361.7004
aglink,baseline,ame,area,sgc,1000 ha,2000,2015.02992
aglink,baseline,ame,area,sgc,1000 ha,2010,2106.421952
aglink,baseline,ame,area,sgc,1000 ha,2020,2432.652428
aglink,baseline,ame,area,sgc,1000 ha,2030,2602.763942
aglink,baseline,ame,area,sgc,1000 ha,2040,2750.000026
aglink,baseline,ame,area,vfn,1000 ha,2000,40838.31799
aglink,baseline,ame,area,vfn,1000 ha,2010,51956.01599
aglink,baseline,ame,area,vfn,1000 ha,2020,69703.0617
aglink,baseline,ame,area,vfn,1000 ha,2030,79799.88154
aglink,baseline,ame,area,vfn,1000 ha,2040,89091.51104
aglink,baseline,ame,area,wht,1000 ha,2000,26080.08268
aglink,baseline,ame,area,wht,1000 ha,2010,27477.81271
aglink,baseline,ame,area,wht,1000 ha,2020,26998.66378
aglink,baseline,ame,area,wht,1000 ha,2030,26140.95764
aglink,baseline,ame,area,wht,1000 ha,2040,26118.39091
aglink,baseline,ame,cons,cgr,1000 t,2000,118839.8936
aglink,baseline,ame,cons,cgr,1000 t,2010,172544.9186
aglink,baseline,ame,cons,cgr,1000 t,2020,225159.242
aglink,baseline,ame,cons,cgr,1000 t,2030,268738.9911
aglink,baseline,ame,cons,cgr,1000 t,2040,313668.8333
aglink,baseline,ame,cons,nrm,1000 t,2000,11684.34576
aglink,baseline,ame,cons,nrm,1000 t,2010,18857.35026
aglink,baseline,ame,cons,nrm,1000 t,2020,25809.12376
aglink,baseline,ame,cons,nrm,1000 t,2030,31923.365
aglink,baseline,ame,cons,nrm,1000 t,2040,38439.12959
aglink,baseline,ame,cons,osd,1000 t,2000,11951.54275
aglink,baseline,ame,cons,osd,1000 t,2010,19224.56225
aglink,baseline,ame,cons,osd,1000 t,2020,30003.1968
aglink,baseline,ame,cons,osd,1000 t,2030,35349.9286
aglink,baseline,ame,cons,osd,1000 t,2040,38911.31011
aglink,baseline,ame,cons,pfb,1000 t,2000,2043.501548
aglink,baseline,ame,cons,pfb,1000 t,2010,1975.956243
aglink,baseline,ame,cons,pfb,1000 t,2020,2131.628927
aglink,baseline,ame,cons,pfb,1000 t,2030,2650.244774
aglink,baseline,ame,cons,pfb,1000 t,2040,3037.49362
aglink,baseline,ame,cons,ric,1000 t,2000,23687.66585
aglink,baseline,ame,cons,ric,1000 t,2010,35497.00796
aglink,baseline,ame,cons,ric,1000 t,2020,51623.3305
aglink,baseline,ame,cons,ric,1000 t,2030,67979.92108
aglink,baseline,ame,cons,ric,1000 t,2040,84805.25587
aglink,baseline,ame,cons,rum,1000 t,2000,9265.149816
aglink,baseline,ame,cons,rum,1000 t,2010,12463.94873
aglink,baseline,ame,cons,rum,1000 t,2020,14885.15757
aglink,baseline,ame,cons,rum,1000 t,2030,18383.58793
aglink,baseline,ame,cons,rum,1000 t,2040,22007.7399
aglink,baseline,ame,cons,vfn,1000 t,2000,60422.16767
aglink,baseline,ame,cons,vfn,1000 t,2010,90779.50786
aglink,baseline,ame,cons,vfn,1000 t,2020,124902.3952
aglink,baseline,ame,cons,vfn,1000 t,2030,156886.8574
aglink,baseline,ame,cons,vfn,1000 t,2040,192910.0763
aglink,baseline,ame,cons,wht,1000 t,2000,91540.49802
aglink,baseline,ame,cons,wht,1000 t,2010,115282.2747
